Sample in Buffer,Sample in Window,TRIGGER,rst_n_1,din_valid_1,dout_valid_OBUF,din_re[9:0],din_im[9:0],dout_re[9:0],dout_im[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,1,1,0,77,139,0,0
1,1,0,1,1,0,154,103,0,0
2,2,0,1,1,0,69,206,0,0
3,3,0,1,1,0,138,237,0,0
4,4,0,1,1,0,101,171,0,0
5,5,0,1,1,0,202,39,0,0
6,6,0,1,1,0,229,78,0,0
7,7,0,1,1,0,187,156,0,0
8,8,0,1,1,0,7,73,0,0
9,9,0,1,1,0,14,146,0,0
10,10,0,1,1,0,28,85,0,0
11,11,0,1,1,0,56,170,0,0
12,12,0,1,1,0,112,37,0,0
13,13,0,1,1,0,224,74,0,0
14,14,0,1,1,0,177,148,0,0
15,15,0,1,1,0,19,89,0,0
16,16,0,1,1,0,38,178,0,0
17,17,0,1,1,0,76,21,0,0
18,18,0,1,1,0,152,42,0,0
19,19,0,1,1,0,65,84,0,0
20,20,0,1,1,0,130,168,0,0
21,21,0,1,1,0,117,33,0,0
22,22,0,1,1,0,234,66,0,0
23,23,0,1,1,0,165,132,0,0
24,24,0,1,1,0,59,121,0,0
25,25,0,1,1,0,118,242,0,0
26,26,0,1,1,0,236,149,0,0
27,27,0,1,1,0,169,91,0,0
28,28,0,1,1,0,35,182,0,0
29,29,0,1,1,0,70,29,0,0
30,30,0,1,1,0,140,58,0,0
31,31,0,1,1,0,105,116,0,0
32,32,0,1,1,0,210,232,0,0
33,33,0,1,1,0,213,161,0,0
34,34,0,1,1,1,219,51,125,167
35,35,0,1,1,1,199,102,11,12
36,36,0,1,1,1,255,204,9,23
37,37,0,1,1,1,143,233,8,519
38,38,0,1,1,1,111,163,148,108
39,39,0,1,1,1,222,55,514,520
40,40,0,1,1,1,205,110,9,23
41,41,0,1,1,1,235,220,524,6
42,42,0,1,1,1,167,201,632,31
43,43,0,1,1,1,63,227,519,25
44,44,0,1,1,1,126,183,515,532
45,45,0,1,1,1,252,31,514,5
46,46,0,1,1,1,137,62,114,568
47,47,0,1,1,1,99,124,515,22
48,48,0,1,1,1,198,248,30,17
49,49,0,1,1,1,253,129,514,31
50,50,0,1,1,1,139,115,3,536
51,51,0,1,1,1,103,230,518,11
52,52,0,1,1,1,206,189,525,29
53,53,0,1,1,1,237,11,526,523
54,54,0,1,1,1,171,22,7,537
55,55,0,1,1,1,39,44,0,6
56,56,0,1,1,1,78,88,23,531
57,57,0,1,1,1,156,176,3,12
58,58,0,1,1,1,73,17,554,533
59,59,0,1,1,1,146,34,13,20
60,60,0,1,1,1,85,68,5,513
61,61,0,1,1,1,170,136,11,531
62,62,0,1,1,1,37,97,34,7
63,63,0,1,1,1,74,194,16,533
64,64,0,1,1,1,148,245,1,27
65,65,0,1,1,1,89,155,532,514
66,66,0,1,1,1,178,71,531,514
